,team1,team2,Ground,date,Series,toss_winner,first_batting,match_winner,team1_player1_bat_rank,team1_player1_bowl_rank,team1_player2_bat_rank,team1_player2_bowl_rank,team1_player3_bat_rank,team1_player3_bowl_rank,team1_player4_bat_rank,team1_player4_bowl_rank,team1_player5_bat_rank,team1_player5_bowl_rank,team1_player6_bat_rank,team1_player6_bowl_rank,team1_player7_bat_rank,team1_player7_bowl_rank,team1_player8_bat_rank,team1_player8_bowl_rank,team1_player9_bat_rank,team1_player9_bowl_rank,team1_player10_bat_rank,team1_player10_bowl_rank,team1_player11_bat_rank,team1_player11_bowl_rank,team2_player1_bat_rank,team2_player1_bowl_rank,team2_player2_bat_rank,team2_player2_bowl_rank,team2_player3_bat_rank,team2_player3_bowl_rank,team2_player4_bat_rank,team2_player4_bowl_rank,team2_player5_bat_rank,team2_player5_bowl_rank,team2_player6_bat_rank,team2_player6_bowl_rank,team2_player7_bat_rank,team2_player7_bowl_rank,team2_player8_bat_rank,team2_player8_bowl_rank,team2_player9_bat_rank,team2_player9_bowl_rank,team2_player10_bat_rank,team2_player10_bowl_rank,team2_player11_bat_rank,team2_player11_bowl_rank
344,South Africa,Pakistan,"Iqbal Stadium, Faisalabad", Oct 28 1994, Wills Triangular Series at Faisalabad,1,1,2,37,101,101,101,2,45,50,101,17,101,55,101,101,11,90,44,101,101,97,15,101,100,11,101,101,101,9,101,101,101,101,101,14,101,66,101,61,1,83,19,78,20,101,101
345,West Indies,India,"Green Park, Kanpur", Oct 30 1994, Wills World Series at Kanpur,2,1,1,27,38,76,101,29,24,34,90,92,101,78,13,101,34,57,101,101,101,101,101,101,65,46,18,11,51,15,101,5,101,16,101,51,87,89,101,101,10,101,3,101,31,101,71
346,Australia,Pakistan,"Gaddafi Stadium, Lahore", Oct 30 1994, Wills Triangular Series at Lahore,1,1,1,25,101,53,101,3,63,7,101,20,32,36,101,101,101,88,6,101,5,101,45,101,20,13,101,101,101,10,101,101,101,101,101,9,101,60,1,86,19,66,101,79,21,101,101
347,West Indies,New Zealand,"Nehru Stadium, Guwahati", Nov 1 1994, Wills World Series at Guwahati,1,1,1,29,33,74,101,1,101,23,21,32,87,71,14,94,101,57,101,101,101,101,101,101,63,101,101,42,101,53,101,28,91,63,101,40,56,49,34,101,64,101,67,101,101,99,16
348,India,New Zealand,"Feroz Shah Kotla, Delhi", Nov 3 1994, Wills World Series at Delhi,1,1,1,44,88,8,48,15,101,4,101,16,101,100,101,101,76,101,3,101,10,101,29,101,67,45,101,101,101,51,101,32,91,56,101,40,57,52,37,101,61,101,66,101,101,101,92
349,Sri Lanka,Zimbabwe,Harare Sports Club, Nov 3 1994, Sri Lanka tour of Zimbabwe at Harare,2,1,1,30,101,39,59,78,101,10,58,18,70,66,38,55,20,101,101,101,101,101,54,101,101,63,86,59,101,101,101,42,101,101,101,101,101,79,101,101,101,101,53,101,62,101,81
350,Zimbabwe,Sri Lanka,Harare Sports Club, Nov 5 1994, Sri Lanka tour of Zimbabwe at Harare,1,1,1,101,101,65,84,67,101,43,101,61,101,80,98,101,101,101,101,101,57,101,80,101,99,28,101,63,38,78,101,17,71,11,59,40,60,56,22,101,101,101,101,101,51,101,90
351,India,West Indies,"Eden Gardens, Kolkata", Nov 5 1994, Wills World Series at Kolkata,2,1,1,39,86,7,46,16,101,4,101,12,101,82,101,101,101,101,10,101,3,101,27,101,61,30,33,68,101,1,101,23,23,33,89,95,101,58,101,72,14,98,4,101,78,101,65
352,Sri Lanka,Zimbabwe,Harare Sports Club, Nov 6 1994, Sri Lanka tour of Zimbabwe at Harare,1,1,1,28,101,63,39,40,61,12,72,8,60,56,20,101,101,101,101,101,101,101,45,101,69,46,101,66,85,71,101,43,101,77,98,101,101,101,101,101,56,101,53,101,101,101,81
353,India,West Indies,"Indira Priyadarshini Stadium, Visakhapatnam", Nov 7 1994, West Indies tour of India at Visakhapatnam,2,1,1,38,88,7,42,11,101,4,101,17,101,50,20,91,101,101,3,101,10,101,27,101,63,29,33,59,101,3,101,20,25,33,90,73,16,96,101,101,5,101,101,101,65,101,101
354,West Indies,India,"Barabati Stadium, Cuttack", Nov 9 1994, West Indies tour of India at Cuttack,1,1,2,30,33,60,101,1,101,21,26,34,90,82,101,101,101,101,101,74,19,101,4,101,63,29,84,6,42,14,101,4,101,83,101,50,22,92,101,100,71,101,3,101,9,101,27
355,India,West Indies,"Sawai Mansingh Stadium, Jaipur", Nov 11 1994, West Indies tour of India at Jaipur,1,1,1,29,84,4,46,12,101,81,101,6,101,101,67,50,20,92,101,101,9,101,3,101,24,32,33,61,101,1,101,19,26,57,101,35,90,83,101,101,101,75,18,101,62,101,101
356,Zimbabwe,Australia,"W.A.C.A. Ground, Perth", Dec 2 1994, Benson & Hedges World Series at Perth,2,1,2,41,101,66,82,68,101,44,101,78,97,101,101,101,101,101,101,101,43,101,53,101,55,54,101,24,101,10,101,37,101,101,101,46,101,91,3,101,6,3,65,101,49,101,15
357,Sri Lanka,Pakistan,"Kingsmead, Durban", Dec 2 1994, Mandela Trophy at Durban,1,1,2,28,101,64,39,43,61,14,73,7,60,101,101,55,19,101,89,101,42,101,101,101,70,17,101,101,101,12,101,101,101,101,101,9,101,67,101,88,12,81,23,101,54,101,101
358,Pakistan,Sri Lanka,"SuperSport Park, Centurion", Dec 4 1994, Mandela Trophy at Centurion,2,1,1,15,101,101,101,9,101,101,101,101,101,11,101,67,101,84,11,82,25,101,55,101,101,28,101,65,43,41,62,10,74,8,60,57,19,101,101,101,39,101,101,101,101,101,69
359,Australia,England,Sydney Cricket Ground, Dec 6 1994, Benson & Hedges World Series at Sydney,1,1,1,23,101,50,101,4,66,9,101,34,101,101,101,46,101,91,5,101,3,101,32,101,13,20,101,24,101,6,85,69,101,26,70,101,101,98,101,79,9,101,79,101,61,101,101
360,South Africa,New Zealand,"Newlands, Cape Town", Dec 6 1994, Mandela Trophy at Cape Town,1,1,1,32,101,39,101,2,42,52,101,101,101,22,101,55,101,83,45,101,11,96,14,101,101,40,101,58,101,17,98,30,93,53,101,54,37,101,101,101,101,101,101,100,15,101,87
361,Australia,Zimbabwe,"Bellerive Oval, Hobart", Dec 8 1994, Benson & Hedges World Series at Hobart,1,1,1,52,101,83,78,4,67,6,101,34,101,101,101,45,101,93,3,101,46,101,28,101,7,38,101,66,82,69,101,46,101,80,96,94,93,101,101,99,94,101,101,101,53,101,54
362,Sri Lanka,New Zealand,"Mangaung Oval, Bloemfontein", Dec 8 1994, Mandela Trophy at Bloemfontein,1,1,2,30,101,55,45,42,63,10,76,8,61,57,19,101,101,101,92,101,38,101,101,101,66,39,101,59,101,49,101,17,100,101,101,54,37,101,101,101,101,101,101,101,13,101,87
363,South Africa,New Zealand,"SuperSport Park, Centurion", Dec 11 1994, Mandela Trophy at Centurion,1,1,1,30,101,59,91,1,43,50,101,101,101,23,101,56,101,88,39,95,33,101,9,97,14,39,101,62,101,37,101,31,96,17,101,42,56,54,40,101,101,101,101,101,101,101,13
364,New Zealand,Pakistan,"St George's Park, Port Elizabeth", Dec 13 1994, Mandela Trophy at Port Elizabeth,2,1,2,40,101,15,101,34,101,31,96,55,44,65,101,43,58,101,101,101,101,101,12,101,82,18,101,101,101,11,101,101,101,101,101,14,101,101,90,101,101,89,16,84,18,101,101
365,Zimbabwe,England,Sydney Cricket Ground, Dec 15 1994, Benson & Hedges World Series at Sydney,1,1,1,101,101,56,86,69,101,99,96,39,101,81,97,101,101,101,80,101,53,101,76,101,55,25,71,22,101,4,89,73,101,101,101,24,101,80,8,101,70,101,65,101,31,101,66
366,Sri Lanka,South Africa,"Mangaung Oval, Bloemfontein", Dec 15 1994, Mandela Trophy at Bloemfontein,1,1,1,31,101,54,42,43,62,9,73,6,60,101,101,59,19,101,101,101,101,101,37,101,68,28,101,60,92,2,44,51,101,101,101,23,101,58,101,101,101,84,38,101,13,94,12
367,South Africa,Pakistan,"Kingsmead, Durban", Dec 17 1994, Mandela Trophy at Durban,2,1,2,29,101,62,92,2,46,52,101,101,101,21,101,55,101,82,38,90,35,101,15,95,13,18,101,101,101,101,101,101,101,11,101,14,101,68,101,85,17,89,16,101,81,101,101
368,New Zealand,Sri Lanka,"Buffalo Park, East London", Dec 18 1994, Mandela Trophy at East London,1,1,2,42,101,100,101,29,101,27,98,68,101,44,56,57,40,101,62,101,101,101,100,101,16,54,44,34,101,45,63,10,74,7,60,101,101,58,21,101,64,101,33,101,101,101,101
369,New Zealand,Pakistan,"Buffalo Park, East London", Dec 19 1994, Mandela Trophy at East London,1,1,2,40,101,86,101,32,101,27,100,67,101,45,54,57,41,101,101,101,93,101,17,101,87,18,101,101,101,15,101,11,101,101,101,101,101,68,101,90,14,85,16,101,96,101,101
370,South Africa,Sri Lanka,"St George's Park, Port Elizabeth", Dec 21 1994, Mandela Trophy at Port Elizabeth,1,1,1,30,101,48,101,46,101,3,40,19,101,61,92,57,101,81,38,101,7,95,14,101,101,35,101,54,50,44,65,10,76,7,61,101,101,59,21,101,74,101,31,101,101,101,101
371,England,Australia,Melbourne Cricket Ground, Jan 10 1995, Benson & Hedges World Series at Melbourne,1,1,1,101,101,22,101,2,73,52,101,17,101,101,101,101,101,101,61,78,8,101,70,101,24,23,101,54,101,4,64,25,36,81,89,8,101,47,101,101,101,89,3,101,45,101,4
372,South Africa,Pakistan,"Newlands, Cape Town", Jan 10 1995, Mandela Trophy at Cape Town,2,1,1,43,101,61,92,5,37,37,101,18,101,101,101,59,101,84,34,101,71,101,101,95,15,101,101,20,101,14,101,101,101,101,101,15,101,68,101,64,1,88,13,83,14,101,101
373,South Africa,Pakistan,"The Wanderers Stadium, Johannesburg", Jan 12 1995, Mandela Trophy at Johannesburg,2,1,1,29,101,67,101,4,35,38,101,20,101,60,92,59,101,77,52,84,29,95,8,101,18,101,101,21,101,101,101,14,101,101,101,49,99,69,101,62,1,91,15,85,16,101,101
374,New Zealand,West Indies,"Eden Park, Auckland", Jan 22 1995, West Indies tour of New Zealand at Auckland,1,1,2,39,101,47,101,35,101,26,98,42,55,101,101,101,101,101,100,101,43,72,19,101,27,54,101,101,101,1,101,36,91,58,101,83,101,75,20,88,5,101,101,101,39,101,71
375,West Indies,New Zealand,"Basin Reserve, Wellington", Jan 25 1995, West Indies tour of New Zealand at Wellington,2,1,1,55,101,101,101,1,101,37,88,81,101,101,29,69,22,58,101,88,5,101,101,101,64,36,101,47,101,35,101,26,99,41,54,101,101,101,101,101,43,73,19,101,98,101,27
376,New Zealand,West Indies,"AMI Stadium, Christchurch", Jan 28 1995, West Indies tour of New Zealand at Christchurch,2,1,2,35,101,48,101,38,101,26,99,101,101,43,55,101,101,101,101,72,19,101,27,101,101,47,101,101,101,1,101,36,80,58,101,81,101,101,101,101,23,88,4,69,20,101,64
377,South Africa,Australia,"Basin Reserve, Wellington", Feb 15 1995, New Zealand Centenary Tournament at Wellington,1,1,2,29,101,61,101,4,35,40,101,18,101,60,92,55,101,89,28,101,71,90,8,101,19,22,101,101,101,6,63,8,101,24,36,101,101,46,101,75,9,86,1,101,30,101,3
378,India,New Zealand,"McLean Park, Napier", Feb 16 1995, New Zealand Centenary Tournament at Napier,2,1,2,29,87,3,49,11,101,7,101,13,101,51,22,95,101,98,13,101,6,101,69,101,26,42,101,17,101,26,98,60,101,61,56,44,55,38,101,101,101,71,17,101,101,101,23
379,South Africa,India,"Seddon Park, Hamilton", Feb 18 1995, New Zealand Centenary Tournament at Hamilton,1,1,1,30,101,25,101,33,101,6,31,22,101,62,92,55,101,84,29,101,60,101,19,91,11,29,87,3,49,12,101,7,101,13,101,101,6,52,24,89,101,99,10,101,71,101,27
380,Australia,New Zealand,"Eden Park, Auckland", Feb 19 1995, New Zealand Centenary Tournament at Auckland,1,1,1,101,101,17,101,4,61,8,101,24,37,101,101,46,101,87,1,74,4,101,30,101,3,40,101,39,101,27,98,54,101,61,57,44,52,36,101,101,100,71,18,101,17,101,21
381,Australia,India,"Carisbrook, Dunedin", Feb 22 1995, New Zealand Centenary Tournament at Dunedin,1,1,2,8,101,101,101,101,101,26,38,4,63,46,101,19,101,83,2,101,30,101,3,101,101,50,25,3,45,11,101,7,101,12,101,51,101,84,101,101,7,101,101,98,9,101,101
382,Zimbabwe,Pakistan,Harare Sports Club, Feb 22 1995, Pakistan tour of Zimbabwe at Harare,1,1,2,35,101,56,85,101,101,69,101,43,101,72,86,101,101,101,82,101,72,101,101,101,93,101,101,17,100,14,101,101,101,101,101,101,101,70,101,101,83,101,101,101,101,65,1
383,New Zealand,South Africa,"AMI Stadium, Christchurch", Feb 23-24 1995, New Zealand Centenary Tournament at Christchurch,2,1,1,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
384,Zimbabwe,Pakistan,Harare Sports Club, Feb 25 1995, Pakistan tour of Zimbabwe at Harare,2,1,2,101,101,55,84,101,101,67,101,36,101,74,85,101,101,101,72,101,50,101,82,101,97,101,101,17,101,11,101,50,100,101,101,101,101,101,101,101,71,65,1,91,15,101,101
385,New Zealand,Australia,"Eden Park, Auckland", Feb 26 1995, New Zealand Centenary Tournament at Auckland,1,1,2,33,101,101,101,26,98,54,101,60,56,47,51,34,101,101,88,71,17,101,20,101,18,101,101,17,101,3,60,8,101,27,36,101,101,45,101,74,2,83,1,101,21,101,5
386,Zimbabwe,Pakistan,Harare Sports Club, Feb 26 1995, Pakistan tour of Zimbabwe at Harare,2,1,1,101,101,55,85,101,101,31,101,66,101,75,86,101,101,101,72,101,43,101,83,101,87,101,101,101,101,10,101,101,101,101,101,51,100,101,71,93,15,101,101,65,3,101,101
387,West Indies,Australia,"Kensington Oval, Bridgetown, Barbados", Mar 8 1995, Australia tour of West Indies at Bridgetown,1,1,1,31,34,48,101,1,101,38,101,17,29,59,101,101,101,101,18,101,101,88,4,99,6,18,101,56,101,3,58,5,101,27,36,101,101,45,101,74,3,83,1,101,7,101,25
388,Australia,West Indies,"Queen's Park Oval, Port of Spain, Trinidad", Mar 11 1995, Australia tour of West Indies at Port of Spain,1,1,1,51,101,18,101,4,59,5,101,25,36,101,101,44,101,73,1,82,3,101,6,101,4,29,34,54,101,1,101,15,29,59,101,38,80,101,101,101,18,101,97,89,5,99,9
389,West Indies,Australia,"Queen's Park Oval, Port of Spain, Trinidad", Mar 12 1995, Australia tour of West Indies at Port of Spain,1,1,1,32,32,57,101,1,101,14,29,54,101,38,80,101,101,101,18,101,97,89,4,101,101,18,101,53,101,94,101,7,101,23,36,101,101,45,101,74,1,82,3,101,42,101,6
390,Australia,West Indies,"Arnos Vale Ground, Kingstown, St Vincent", Mar 15 1995, Australia tour of West Indies at Kingstown,1,1,2,48,101,21,101,4,59,7,101,24,37,101,101,45,101,74,1,82,3,101,11,101,6,28,32,101,101,55,101,14,30,38,71,101,101,1,101,101,18,101,97,89,4,101,101
391,Australia,West Indies,"Bourda, Georgetown, Guyana", Mar 18 1995, Australia tour of West Indies at Georgetown,1,1,2,19,101,45,101,4,59,26,37,98,101,91,101,44,101,72,1,101,101,101,28,101,7,54,101,101,101,25,32,12,27,51,101,37,71,74,101,101,101,101,19,101,97,101,101
392,New Zealand,Sri Lanka,"AMI Stadium, Christchurch", Mar 26 1995, Sri Lanka tour of New Zealand at Christchurch,2,1,1,33,101,41,101,22,94,54,101,55,54,32,101,101,42,101,69,70,16,101,101,101,20,43,62,50,46,80,101,10,78,7,61,101,101,58,22,94,28,101,101,101,59,101,101
393,New Zealand,Sri Lanka,"Seddon Park, Hamilton", Mar 29 1995, Sri Lanka tour of New Zealand at Hamilton,1,1,1,42,101,91,101,22,93,56,101,48,56,28,101,47,49,101,35,101,69,70,16,101,18,44,63,54,46,76,101,12,79,7,61,101,101,59,25,93,23,101,101,101,60,101,101
394,Sri Lanka,New Zealand,"Eden Park, Auckland", Apr 1 1995, Sri Lanka tour of New Zealand at Auckland,1,1,1,39,64,48,37,13,79,7,62,59,24,101,101,101,101,92,27,76,101,101,101,101,101,43,101,33,101,81,101,22,93,50,54,56,101,28,101,101,32,101,70,70,16,101,18
395,Bangladesh,India,Sharjah Cricket Stadium, Apr 5 1995, Pepsi Asia Cup at Sharjah,1,1,2,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,47,22,3,45,10,101,101,101,12,101,50,101,82,101,96,10,100,6,101,101,101,101
396,Sri Lanka,Bangladesh,Sharjah Cricket Stadium, Apr 6 1995, Pepsi Asia Cup at Sharjah,2,1,1,40,63,46,36,37,101,13,78,7,61,101,101,59,22,101,101,90,24,101,101,101,98,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
397,Pakistan,India,Sharjah Cricket Stadium, Apr 7 1995, Pepsi Asia Cup at Sharjah,1,1,1,101,101,17,96,101,101,6,101,53,95,101,101,60,2,101,101,101,101,101,101,101,101,49,25,4,45,10,101,8,101,13,101,46,101,82,101,101,11,98,7,101,101,101,66
398,Bangladesh,Pakistan,Sharjah Cricket Stadium, Apr 8 1995, Pepsi Asia Cup at Sharjah,1,1,2,101,101,101,101,101,101,90,101,101,101,91,101,101,101,101,101,101,101,101,101,101,101,101,101,19,96,101,101,5,101,53,95,60,2,101,101,101,101,101,101,101,101,101,101
399,Sri Lanka,India,Sharjah Cricket Stadium, Apr 9 1995, Pepsi Asia Cup at Sharjah,1,1,2,40,65,47,33,37,101,12,78,8,63,101,101,101,101,101,73,86,26,101,34,101,95,48,24,2,45,10,101,99,5,101,101,29,84,46,101,82,101,101,7,101,56,101,99
400,Pakistan,Sri Lanka,Sharjah Cricket Stadium, Apr 11 1995, Pepsi Asia Cup at Sharjah,2,1,2,101,101,21,96,55,95,5,101,101,101,60,2,101,101,101,101,101,101,101,101,101,101,36,101,46,32,40,66,12,79,7,63,101,101,101,101,59,24,86,20,101,29,101,101
401,Sri Lanka,India,Sharjah Cricket Stadium, Apr 14 1995, Pepsi Asia Cup at Sharjah,2,1,2,38,101,46,34,37,67,13,81,10,64,101,101,101,101,59,26,84,20,101,29,101,101,49,24,2,46,8,101,6,101,30,84,47,101,82,101,99,7,101,6,101,77,101,50
402,England,West Indies,"Trent Bridge, Nottingham", May 24-25 1995, West Indies tour of England at Nottingham,2,1,2,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
403,England,West Indies,"Kennington Oval, London", May 26 1995, West Indies tour of England at London,2,1,1,17,101,20,101,3,73,55,101,14,101,101,101,101,54,76,13,101,68,101,101,101,61,11,26,74,101,1,101,51,101,39,101,35,65,87,101,101,17,101,29,91,7,100,4
404,England,West Indies,"Lord's, London", May 28 1995, West Indies tour of England at London,2,1,1,11,101,23,101,3,75,55,101,95,101,101,101,101,47,101,56,101,72,101,62,101,17,54,101,12,24,1,101,51,101,35,68,39,101,88,101,101,101,101,19,101,29,94,10
405,Sri Lanka,Pakistan,"Jinnah Stadium, Gujranwala", Sep 29 1995, Sri Lanka tour of Pakistan at Gujranwala,2,1,2,39,101,46,32,36,67,16,77,8,64,101,101,101,101,59,26,101,72,101,101,101,59,101,101,101,101,101,101,5,101,17,101,101,101,101,101,101,101,101,101,101,101,101,52
406,Sri Lanka,Pakistan,"Iqbal Stadium, Faisalabad", Oct 1 1995, Sri Lanka tour of Pakistan at Faisalabad,2,1,1,39,101,42,27,34,68,14,71,8,65,101,101,101,101,101,67,84,21,101,101,101,101,101,101,101,101,101,101,5,101,101,101,17,101,101,101,101,101,101,48,101,93,101,85
407,Pakistan,Sri Lanka,Rawalpindi Cricket Stadium, Oct 3 1995, Sri Lanka tour of Pakistan at Rawalpindi,2,1,2,101,101,101,101,101,101,6,101,101,101,101,97,101,101,101,85,101,101,101,92,101,86,39,101,42,27,35,71,15,64,8,68,101,101,101,101,59,29,101,59,101,101,101,101
408,Sri Lanka,West Indies,Sharjah Cricket Stadium, Oct 11 1995, Singer Champions Trophy at Sharjah,2,1,1,35,101,45,28,37,71,16,60,8,68,101,101,101,101,60,30,101,57,101,101,101,101,27,29,59,101,1,101,38,101,71,101,101,42,101,101,101,83,101,101,101,101,101,25
409,Pakistan,Sri Lanka,Sharjah Cricket Stadium, Oct 12 1995, Singer Champions Trophy at Sharjah,1,1,1,101,101,101,101,101,101,5,101,24,99,101,101,101,82,101,31,88,17,101,101,101,100,101,101,45,30,38,71,16,60,8,69,101,101,101,101,60,32,98,55,101,101,101,101
410,Pakistan,West Indies,Sharjah Cricket Stadium, Oct 13 1995, Singer Champions Trophy at Sharjah,1,1,1,101,101,101,101,101,101,24,100,16,101,101,101,101,88,88,17,101,28,101,60,101,101,27,31,57,101,1,101,37,101,101,101,74,101,101,42,101,101,70,20,101,101,101,26
411,Pakistan,West Indies,Sharjah Cricket Stadium, Oct 15 1995, Singer Champions Trophy at Sharjah,2,1,2,101,101,101,101,5,101,16,101,101,101,101,90,101,29,89,20,101,101,101,60,101,85,48,101,56,101,1,101,35,101,28,27,101,101,101,37,101,101,70,19,101,83,101,26
412,West Indies,Sri Lanka,Sharjah Cricket Stadium, Oct 16 1995, Singer Champions Trophy at Sharjah,1,1,1,51,101,59,101,1,101,36,101,28,27,96,101,101,87,101,35,70,20,101,101,101,28,32,101,46,33,17,61,101,101,38,72,9,71,101,101,101,101,87,53,101,101,101,101
413,Pakistan,Sri Lanka,Sharjah Cricket Stadium, Oct 17 1995, Singer Champions Trophy at Sharjah,1,1,2,101,101,101,101,16,101,101,99,101,101,101,95,101,30,101,68,94,20,101,101,101,85,31,101,46,33,38,74,17,61,101,101,101,101,101,101,101,101,86,43,101,101,101,101
414,Sri Lanka,West Indies,Sharjah Cricket Stadium, Oct 20 1995, Singer Champions Trophy at Sharjah,2,1,1,28,101,42,34,16,63,10,59,101,101,101,101,38,75,101,101,86,39,101,100,101,101,51,101,58,101,1,101,36,101,29,28,85,101,101,35,101,101,70,19,101,80,101,101
415,South Africa,Zimbabwe,Harare Sports Club, Oct 21 1995, South Africa tour of Zimbabwe at Harare,2,1,1,32,101,59,101,62,44,7,24,22,101,17,101,67,85,101,101,101,4,90,10,101,17,101,101,55,82,68,101,33,101,60,101,81,83,101,101,101,68,101,38,101,60,101,101
416,South Africa,Zimbabwe,Harare Sports Club, Oct 22 1995, South Africa tour of Zimbabwe at Harare,1,1,1,59,101,101,101,101,101,61,86,15,101,20,101,8,19,101,56,101,3,90,10,101,15,101,101,55,83,68,101,32,101,63,101,84,78,101,73,101,29,101,53,101,47,101,101
417,India,New Zealand,"Keenan Stadium, Jamshedpur", Nov 15 1995, New Zealand tour of India at Jamshedpur,2,1,2,48,22,2,45,8,101,6,101,14,101,33,86,80,101,101,7,101,8,101,94,101,49,29,101,83,101,18,101,46,101,50,48,101,101,51,51,101,101,70,15,101,61,101,18
418,New Zealand,India,"Gandhi Sports Complex Ground, Amritsar", Nov 18 1995, New Zealand tour of India at Amritsar,2,1,2,33,101,64,101,19,101,49,101,101,101,51,51,50,47,101,101,70,15,101,58,101,19,48,18,2,46,10,101,6,101,45,101,28,86,81,101,101,7,101,6,101,76,101,45
419,New Zealand,India,"Nehru Stadium, Pune", Nov 24 1995, New Zealand tour of India at Pune,2,1,2,34,101,66,101,19,101,49,101,101,101,39,40,51,48,101,101,70,15,101,58,101,20,50,18,2,47,15,101,6,101,43,101,29,86,73,101,101,8,101,6,101,73,101,44
420,New Zealand,India,"Vidarbha C.A. Ground, Nagpur", Nov 26 1995, New Zealand tour of India at Nagpur,2,1,1,33,101,45,101,19,101,41,101,40,37,101,101,52,47,101,101,70,16,101,58,101,22,51,19,2,49,17,101,6,101,44,101,27,86,73,101,101,7,101,69,101,8,101,40
421,New Zealand,India,"Brabourne Stadium, Mumbai", Nov 29 1995, New Zealand tour of India at Mumbai,2,1,2,34,101,43,101,41,101,25,101,101,101,51,47,101,101,69,16,101,57,101,93,101,19,50,22,2,49,13,101,7,101,44,101,23,86,73,101,101,5,101,62,101,6,101,40
422,Pakistan,New Zealand,"Carisbrook, Dunedin", Dec 15 1995, Pakistan tour of New Zealand at Dunedin,1,1,1,101,101,101,101,101,101,5,101,101,101,18,101,66,2,71,101,101,29,97,18,101,101,101,101,50,94,48,101,41,101,26,101,89,101,39,38,101,101,101,31,69,16,101,22
423,West Indies,Sri Lanka,Adelaide Oval, Dec 15 1995, Benson & Hedges World Series at Adelaide,2,1,2,28,32,54,101,36,101,86,101,12,23,52,101,101,36,101,101,101,28,101,12,101,6,27,101,43,35,37,74,14,64,9,55,101,101,101,101,83,40,87,25,101,101,101,101
424,Pakistan,New Zealand,"AMI Stadium, Christchurch", Dec 17 1995, Pakistan tour of New Zealand at Christchurch,1,1,2,101,101,101,101,101,101,5,101,101,101,66,2,17,101,71,101,101,20,101,30,101,101,101,101,53,92,47,101,35,101,24,101,31,37,89,101,101,101,101,29,69,16,101,18
425,Australia,West Indies,Adelaide Oval, Dec 17 1995, Benson & Hedges World Series at Adelaide,2,1,1,19,101,43,101,2,56,101,101,85,86,33,101,101,101,46,101,81,4,101,6,101,7,32,35,56,101,40,101,16,26,79,101,51,101,96,34,101,101,101,28,101,13,101,9
426,Australia,West Indies,Melbourne Cricket Ground, Dec 19 1995, Benson & Hedges World Series at Melbourne,1,1,1,46,101,17,101,4,56,101,101,62,87,27,101,101,101,43,101,82,4,101,5,101,101,50,101,58,101,70,101,33,35,16,27,41,101,91,34,73,25,101,101,101,12,101,9
427,Pakistan,New Zealand,"Basin Reserve, Wellington", Dec 20 1995, Pakistan tour of New Zealand at Wellington,2,1,1,101,101,101,101,101,101,3,101,101,101,64,2,19,101,74,101,101,25,100,20,101,101,101,101,55,93,49,101,33,101,26,101,82,101,35,38,101,101,101,29,71,16,101,19
428,Sri Lanka,Australia,Sydney Cricket Ground, Dec 21 1995, Benson & Hedges World Series at Sydney,1,1,2,29,101,44,36,37,73,12,64,10,55,101,101,101,101,88,39,89,24,101,101,101,101,13,101,47,101,5,56,83,101,65,88,25,101,101,77,43,101,85,5,101,101,101,7
429,New Zealand,Pakistan,"Eden Park, Auckland", Dec 23 1995, Pakistan tour of New Zealand at Auckland,2,1,1,101,101,49,101,28,101,25,101,35,38,71,99,53,85,101,101,101,31,72,16,101,18,101,101,101,101,101,101,5,101,101,101,19,101,66,2,76,101,101,26,101,21,101,101
430,West Indies,Sri Lanka,"Bellerive Oval, Hobart", Jan 3 1996, Benson & Hedges World Series at Hobart,2,1,1,36,35,57,101,58,101,42,101,9,31,91,33,101,62,101,101,101,28,101,10,101,8,32,101,45,38,34,74,13,65,101,101,101,101,101,101,88,39,89,19,101,101,101,101
431,Sri Lanka,West Indies,"Brisbane Cricket Ground, Woolloongabba, Brisbane", Jan 5 1996, Benson & Hedges World Series at Brisbane,1,1,2,101,101,46,38,35,75,14,65,33,101,101,101,101,101,91,18,101,101,101,101,101,101,36,33,51,101,61,101,41,101,9,32,90,35,101,56,101,101,101,27,101,7,101,6
432,West Indies,Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane", Jan 7 1996, Benson & Hedges World Series at Brisbane,2,1,1,53,101,54,101,36,33,33,101,10,32,92,34,101,101,101,58,101,25,101,4,101,8,17,101,48,101,5,52,72,101,51,88,21,98,101,78,44,101,74,1,101,10,101,5
433,Australia,Sri Lanka,Melbourne Cricket Ground, Jan 9 1996, Benson & Hedges World Series at Melbourne,1,1,2,51,101,19,101,5,52,46,101,54,90,18,99,101,83,43,101,73,2,87,6,101,10,47,39,82,101,39,78,14,67,32,101,101,101,69,35,83,38,91,18,101,77,101,101
